id,year_abs,month,day,is_wikipedia,is_scientific,is_archaeological,confidence_score,title_length,content_length
172,1939,11,7,1,0,0,0.8,11,318
173,1745,12,25,1,0,0,0.8,10,98
174,1912,1,28,1,0,0,0.8,11,178
175,1895,1,26,1,0,0,0.8,11,187
176,1962,12,10,1,0,0,0.8,10,159
177,1859,10,1,1,0,0,0.8,14,110
178,1358,8,5,1,0,0,0.8,10,31
179,1862,4,5,1,0,0,0.8,10,61
180,1901,1,27,1,0,0,0.8,11,46
181,1767,12,28,1,0,0,0.8,10,71
182,1989,11,25,1,0,0,0.8,12,135
183,1898,4,12,1,0,0,0.8,11,101
184,1947,9,27,1,0,0,0.8,11,96
185,1996,9,16,1,0,0,0.8,11,127
186,1997,12,23,1,0,0,0.8,10,67
187,1935,1,20,1,0,0,0.8,11,44
188,1967,12,24,1,0,0,0.8,10,81
189,1903,4,7,1,0,0,0.8,10,74
190,1967,6,27,1,0,0,0.8,10,525
191,1941,6,24,1,0,0,0.8,10,432
192,2007,8,23,1,0,0,0.8,11,113
193,2004,1,7,1,0,0,0.8,10,89
194,1869,4,23,1,0,0,0.8,11,94
195,1933,12,28,1,0,0,0.8,10,245
196,1938,4,1,1,0,0,0.8,10,77
197,1921,9,23,1,0,0,0.8,11,309
198,1956,10,26,1,0,0,0.8,15,147
199,1846,8,11,1,0,0,0.8,11,50
200,1783,12,20,1,0,0,0.8,10,49
201,1944,8,14,1,0,0,0.8,11,415
202,1986,12,24,1,0,0,0.8,10,278
203,1906,12,18,1,0,0,0.8,10,118
204,2012,11,27,1,0,0,0.8,12,215
205,1904,9,27,1,0,0,0.8,11,48
206,1767,10,24,1,0,0,0.8,15,34
207,1813,4,2,1,0,0,0.8,10,78
208,1985,12,23,1,0,0,0.8,10,190
209,1868,10,2,1,0,0,0.8,14,156
210,1956,8,14,1,0,0,0.8,11,192
211,1982,4,27,1,0,0,0.8,11,296
212,2016,10,16,1,0,0,0.8,15,286
213,1928,1,19,1,0,0,0.8,11,314
214,1900,10,22,1,0,0,0.8,15,273
215,1995,1,1,0,1,0,0.9,29,89
216,2021,1,1,0,1,0,0.9,29,89
217,1954,1,1,0,1,0,0.9,29,89
218,2020,1,1,0,1,0,0.9,29,89
219,2012,1,1,0,1,0,0.9,29,89
220,1950,1,1,0,1,0,0.9,29,89
221,2009,1,1,0,1,0,0.9,29,89
222,1994,1,1,0,1,0,0.9,29,89
223,1976,1,1,0,1,0,0.9,29,89
224,1975,1,1,0,1,0,0.9,30,89
225,2002,1,1,0,1,0,0.9,30,89
226,1960,1,1,0,1,0,0.9,30,89
227,1993,1,1,0,1,0,0.9,30,89
228,1954,1,1,0,1,0,0.9,30,89
229,1975,1,1,0,1,0,0.9,30,89
230,2014,1,1,0,1,0,0.9,30,89
231,1984,1,1,0,1,0,0.9,30,89
232,1968,1,1,0,1,0,0.9,30,89
233,2023,1,1,0,1,0,0.9,30,89
234,1981,1,1,0,1,0,0.9,30,89
235,2019,1,1,0,1,0,0.9,33,93
236,2002,1,1,0,1,0,0.9,33,93
237,1959,1,1,0,1,0,0.9,33,93
238,1959,1,1,0,1,0,0.9,33,93
239,1954,1,1,0,1,0,0.9,33,93
240,1967,1,1,0,1,0,0.9,33,93
241,1958,1,1,0,1,0,0.9,33,93
242,2022,1,1,0,1,0,0.9,33,93
243,2010,1,1,0,1,0,0.9,33,93
244,1970,1,1,0,1,0,0.9,34,93
245,1976,1,1,0,1,0,0.9,34,93
246,2021,1,1,0,1,0,0.9,34,93
247,1985,1,1,0,1,0,0.9,34,93
248,1950,1,1,0,1,0,0.9,34,93
249,2000,1,1,0,1,0,0.9,34,93
250,1968,1,1,0,1,0,0.9,34,93
251,2017,1,1,0,1,0,0.9,34,93
252,2012,1,1,0,1,0,0.9,34,93
253,1985,1,1,0,1,0,0.9,34,93
254,1985,1,1,0,1,0,0.9,34,93
255,1996,1,1,0,1,0,0.9,30,90
256,1955,1,1,0,1,0,0.9,30,90
257,2003,1,1,0,1,0,0.9,30,90
258,1991,1,1,0,1,0,0.9,30,90
259,1990,1,1,0,1,0,0.9,30,90
260,1990,1,1,0,1,0,0.9,30,90
261,1961,1,1,0,1,0,0.9,30,90
262,2004,1,1,0,1,0,0.9,30,90
263,1974,1,1,0,1,0,0.9,30,90
264,1970,1,1,0,1,0,0.9,31,90
265,2014,1,1,0,1,0,0.9,31,90
266,1995,1,1,0,1,0,0.9,31,90
267,1983,1,1,0,1,0,0.9,31,90
268,1952,1,1,0,1,0,0.9,31,90
269,2002,1,1,0,1,0,0.9,31,90
270,2012,1,1,0,1,0,0.9,31,90
271,2023,1,1,0,1,0,0.9,31,90
272,1998,1,1,0,1,0,0.9,31,90
273,1967,1,1,0,1,0,0.9,31,90
274,1956,1,1,0,1,0,0.9,31,90
275,1970,1,1,0,1,0,0.9,29,89
276,1995,1,1,0,1,0,0.9,29,89
277,1962,1,1,0,1,0,0.9,29,89
278,1995,1,1,0,1,0,0.9,29,89
279,1954,1,1,0,1,0,0.9,29,89
280,1996,1,1,0,1,0,0.9,29,89
281,2003,1,1,0,1,0,0.9,29,89
282,1953,1,1,0,1,0,0.9,29,89
283,1977,1,1,0,1,0,0.9,29,89
284,1997,1,1,0,1,0,0.9,30,89
285,2010,1,1,0,1,0,0.9,30,89
286,1959,1,1,0,1,0,0.9,30,89
287,2002,1,1,0,1,0,0.9,30,89
288,2021,1,1,0,1,0,0.9,30,89
289,1984,1,1,0,1,0,0.9,30,89
290,2022,1,1,0,1,0,0.9,30,89
291,2001,1,1,0,1,0,0.9,30,89
292,1986,1,1,0,1,0,0.9,30,89
293,1989,1,1,0,1,0,0.9,30,89
294,1984,1,1,0,1,0,0.9,30,89
295,2019,1,1,0,1,0,0.9,32,92
296,1993,1,1,0,1,0,0.9,32,92
297,2022,1,1,0,1,0,0.9,32,92
298,1987,1,1,0,1,0,0.9,32,92
299,1987,1,1,0,1,0,0.9,32,92
300,1965,1,1,0,1,0,0.9,32,92
301,1992,1,1,0,1,0,0.9,32,92
302,2000,1,1,0,1,0,0.9,32,92
303,1963,1,1,0,1,0,0.9,32,92
304,1972,1,1,0,1,0,0.9,33,92
305,1968,1,1,0,1,0,0.9,33,92
306,2007,1,1,0,1,0,0.9,33,92
307,2015,1,1,0,1,0,0.9,33,92
308,1981,1,1,0,1,0,0.9,33,92
309,1976,1,1,0,1,0,0.9,33,92
310,1991,1,1,0,1,0,0.9,33,92
311,2009,1,1,0,1,0,0.9,33,92
312,1953,1,1,0,1,0,0.9,33,92
313,2012,1,1,0,1,0,0.9,33,92
314,2005,1,1,0,1,0,0.9,33,92
315,-6500,6,15,0,0,1,0.7,25,44
316,-6500,6,15,0,0,1,0.7,23,42
317,-6500,6,15,0,0,1,0.7,23,42
318,-6500,6,15,0,0,1,0.7,25,44
319,-6500,6,15,0,0,1,0.7,28,46
320,-2100,6,15,0,0,1,0.7,27,45
321,-2100,6,15,0,0,1,0.7,25,43
322,-2100,6,15,0,0,1,0.7,25,43
323,-2100,6,15,0,0,1,0.7,27,45
324,-2100,6,15,0,0,1,0.7,29,47
325,-850,6,15,0,0,1,0.7,25,43
326,-850,6,15,0,0,1,0.7,23,41
327,-850,6,15,0,0,1,0.7,23,41
328,-850,6,15,0,0,1,0.7,25,43
329,-850,6,15,0,0,1,0.7,27,45
330,1000,6,15,0,0,1,0.7,25,43
331,1000,6,15,0,0,1,0.7,23,41
332,1000,6,15,0,0,1,0.7,23,41
333,1000,6,15,0,0,1,0.7,25,43
334,1000,6,15,0,0,1,0.7,27,45
335,2011,1,1,0,1,0,0.9,29,89
336,1971,1,1,0,1,0,0.9,29,89
337,1964,1,1,0,1,0,0.9,29,89
338,1960,1,1,0,1,0,0.9,29,89
339,1954,1,1,0,1,0,0.9,29,89
340,2001,1,1,0,1,0,0.9,29,89
341,1971,1,1,0,1,0,0.9,29,89
342,1983,1,1,0,1,0,0.9,29,89
343,1958,1,1,0,1,0,0.9,29,89
344,1972,1,1,0,1,0,0.9,30,89
345,1950,1,1,0,1,0,0.9,30,89
346,1950,1,1,0,1,0,0.9,30,89
347,1995,1,1,0,1,0,0.9,30,89
348,1970,1,1,0,1,0,0.9,30,89
349,1986,1,1,0,1,0,0.9,30,89
350,2008,1,1,0,1,0,0.9,30,89
351,1962,1,1,0,1,0,0.9,30,89
352,2018,1,1,0,1,0,0.9,30,89
353,1995,1,1,0,1,0,0.9,30,89
354,1999,1,1,0,1,0,0.9,30,89
355,1964,1,1,0,1,0,0.9,33,93
356,2018,1,1,0,1,0,0.9,33,93
357,1952,1,1,0,1,0,0.9,33,93
358,1986,1,1,0,1,0,0.9,33,93
359,1995,1,1,0,1,0,0.9,33,93
360,1972,1,1,0,1,0,0.9,33,93
361,1950,1,1,0,1,0,0.9,33,93
362,2013,1,1,0,1,0,0.9,33,93
363,1988,1,1,0,1,0,0.9,33,93
364,2003,1,1,0,1,0,0.9,34,93
365,1979,1,1,0,1,0,0.9,34,93
366,1979,1,1,0,1,0,0.9,34,93
367,2020,1,1,0,1,0,0.9,34,93
368,1981,1,1,0,1,0,0.9,34,93
369,1994,1,1,0,1,0,0.9,34,93
370,1967,1,1,0,1,0,0.9,34,93
371,2007,1,1,0,1,0,0.9,34,93
372,1964,1,1,0,1,0,0.9,34,93
373,1966,1,1,0,1,0,0.9,34,93
374,1968,1,1,0,1,0,0.9,34,93
375,1985,1,1,0,1,0,0.9,30,90
376,1998,1,1,0,1,0,0.9,30,90
377,2005,1,1,0,1,0,0.9,30,90
378,1989,1,1,0,1,0,0.9,30,90
379,2022,1,1,0,1,0,0.9,30,90
380,1987,1,1,0,1,0,0.9,30,90
381,2023,1,1,0,1,0,0.9,30,90
382,2006,1,1,0,1,0,0.9,30,90
383,1978,1,1,0,1,0,0.9,30,90
384,1967,1,1,0,1,0,0.9,31,90
385,2021,1,1,0,1,0,0.9,31,90
386,1967,1,1,0,1,0,0.9,31,90
387,1976,1,1,0,1,0,0.9,31,90
388,1998,1,1,0,1,0,0.9,31,90
389,2011,1,1,0,1,0,0.9,31,90
390,1967,1,1,0,1,0,0.9,31,90
391,1963,1,1,0,1,0,0.9,31,90
392,2007,1,1,0,1,0,0.9,31,90
393,1990,1,1,0,1,0,0.9,31,90
394,1984,1,1,0,1,0,0.9,31,90
395,2015,1,1,0,1,0,0.9,29,89
396,2008,1,1,0,1,0,0.9,29,89
397,1953,1,1,0,1,0,0.9,29,89
398,1972,1,1,0,1,0,0.9,29,89
399,1957,1,1,0,1,0,0.9,29,89
400,1987,1,1,0,1,0,0.9,29,89
401,2006,1,1,0,1,0,0.9,29,89
402,2021,1,1,0,1,0,0.9,29,89
403,1981,1,1,0,1,0,0.9,29,89
404,1966,1,1,0,1,0,0.9,30,89
405,1957,1,1,0,1,0,0.9,30,89
406,1993,1,1,0,1,0,0.9,30,89
407,2021,1,1,0,1,0,0.9,30,89
408,2016,1,1,0,1,0,0.9,30,89
409,1979,1,1,0,1,0,0.9,30,89
410,1966,1,1,0,1,0,0.9,30,89
411,2013,1,1,0,1,0,0.9,30,89
412,2023,1,1,0,1,0,0.9,30,89
413,1978,1,1,0,1,0,0.9,30,89
414,1959,1,1,0,1,0,0.9,30,89
415,1958,1,1,0,1,0,0.9,32,92
416,1994,1,1,0,1,0,0.9,32,92
417,1978,1,1,0,1,0,0.9,32,92
418,2022,1,1,0,1,0,0.9,32,92
419,1995,1,1,0,1,0,0.9,32,92
420,1982,1,1,0,1,0,0.9,32,92
421,2022,1,1,0,1,0,0.9,32,92
422,1979,1,1,0,1,0,0.9,32,92
423,1995,1,1,0,1,0,0.9,32,92
424,1981,1,1,0,1,0,0.9,33,92
425,1968,1,1,0,1,0,0.9,33,92
426,1977,1,1,0,1,0,0.9,33,92
427,1982,1,1,0,1,0,0.9,33,92
428,1971,1,1,0,1,0,0.9,33,92
429,2012,1,1,0,1,0,0.9,33,92
430,1978,1,1,0,1,0,0.9,33,92
431,2023,1,1,0,1,0,0.9,33,92
432,1989,1,1,0,1,0,0.9,33,92
433,2009,1,1,0,1,0,0.9,33,92
434,1964,1,1,0,1,0,0.9,33,92
435,1983,1,1,0,1,0,0.9,29,89
436,1982,1,1,0,1,0,0.9,29,89
437,1965,1,1,0,1,0,0.9,29,89
438,1995,1,1,0,1,0,0.9,29,89
439,1972,1,1,0,1,0,0.9,29,89
440,1963,1,1,0,1,0,0.9,29,89
441,1963,1,1,0,1,0,0.9,29,89
442,2005,1,1,0,1,0,0.9,29,89
443,2006,1,1,0,1,0,0.9,29,89
444,1970,1,1,0,1,0,0.9,30,89
445,1954,1,1,0,1,0,0.9,30,89
446,1952,1,1,0,1,0,0.9,30,89
447,1998,1,1,0,1,0,0.9,30,89
448,1983,1,1,0,1,0,0.9,30,89
449,1994,1,1,0,1,0,0.9,30,89
450,1952,1,1,0,1,0,0.9,30,89
451,1968,1,1,0,1,0,0.9,30,89
452,1953,1,1,0,1,0,0.9,30,89
453,1956,1,1,0,1,0,0.9,30,89
454,2020,1,1,0,1,0,0.9,30,89
455,2009,1,1,0,1,0,0.9,33,93
456,1995,1,1,0,1,0,0.9,33,93
457,2001,1,1,0,1,0,0.9,33,93
458,1980,1,1,0,1,0,0.9,33,93
459,1990,1,1,0,1,0,0.9,33,93
460,2011,1,1,0,1,0,0.9,33,93
461,1984,1,1,0,1,0,0.9,33,93
462,2002,1,1,0,1,0,0.9,33,93
463,1983,1,1,0,1,0,0.9,33,93
464,1961,1,1,0,1,0,0.9,34,93
465,2004,1,1,0,1,0,0.9,34,93
466,1958,1,1,0,1,0,0.9,34,93
467,1969,1,1,0,1,0,0.9,34,93
468,2020,1,1,0,1,0,0.9,34,93
469,1996,1,1,0,1,0,0.9,34,93
470,1970,1,1,0,1,0,0.9,34,93
471,1968,1,1,0,1,0,0.9,34,93
472,1983,1,1,0,1,0,0.9,34,93
473,1962,1,1,0,1,0,0.9,34,93
474,1962,1,1,0,1,0,0.9,34,93
475,1960,1,1,0,1,0,0.9,30,90
476,2006,1,1,0,1,0,0.9,30,90
477,1959,1,1,0,1,0,0.9,30,90
478,1997,1,1,0,1,0,0.9,30,90
479,1950,1,1,0,1,0,0.9,30,90
480,1999,1,1,0,1,0,0.9,30,90
481,2020,1,1,0,1,0,0.9,30,90
482,1966,1,1,0,1,0,0.9,30,90
483,2020,1,1,0,1,0,0.9,30,90
484,1952,1,1,0,1,0,0.9,31,90
485,2009,1,1,0,1,0,0.9,31,90
486,2023,1,1,0,1,0,0.9,31,90
487,2004,1,1,0,1,0,0.9,31,90
488,1969,1,1,0,1,0,0.9,31,90
489,2012,1,1,0,1,0,0.9,31,90
490,1984,1,1,0,1,0,0.9,31,90
491,1994,1,1,0,1,0,0.9,31,90
492,2010,1,1,0,1,0,0.9,31,90
493,1981,1,1,0,1,0,0.9,31,90
494,2011,1,1,0,1,0,0.9,31,90
495,2012,1,1,0,1,0,0.9,29,89
496,1996,1,1,0,1,0,0.9,29,89
497,2020,1,1,0,1,0,0.9,29,89
498,2005,1,1,0,1,0,0.9,29,89
499,1959,1,1,0,1,0,0.9,29,89
500,1952,1,1,0,1,0,0.9,29,89
501,1974,1,1,0,1,0,0.9,29,89
502,1983,1,1,0,1,0,0.9,29,89
503,2017,1,1,0,1,0,0.9,29,89
504,2009,1,1,0,1,0,0.9,30,89
505,2001,1,1,0,1,0,0.9,30,89
506,1995,1,1,0,1,0,0.9,30,89
507,2022,1,1,0,1,0,0.9,30,89
508,1958,1,1,0,1,0,0.9,30,89
509,1978,1,1,0,1,0,0.9,30,89
510,1954,1,1,0,1,0,0.9,30,89
511,2019,1,1,0,1,0,0.9,30,89
512,1998,1,1,0,1,0,0.9,30,89
513,1959,1,1,0,1,0,0.9,30,89
514,1988,1,1,0,1,0,0.9,30,89
515,1955,1,1,0,1,0,0.9,32,92
516,1982,1,1,0,1,0,0.9,32,92
517,1981,1,1,0,1,0,0.9,32,92
518,1970,1,1,0,1,0,0.9,32,92
519,1981,1,1,0,1,0,0.9,32,92
520,1994,1,1,0,1,0,0.9,32,92
521,1998,1,1,0,1,0,0.9,32,92
522,1971,1,1,0,1,0,0.9,32,92
523,1985,1,1,0,1,0,0.9,32,92
524,1991,1,1,0,1,0,0.9,33,92
525,1965,1,1,0,1,0,0.9,33,92
526,1983,1,1,0,1,0,0.9,33,92
527,2000,1,1,0,1,0,0.9,33,92
528,2021,1,1,0,1,0,0.9,33,92
529,2023,1,1,0,1,0,0.9,33,92
530,1979,1,1,0,1,0,0.9,33,92
531,1975,1,1,0,1,0,0.9,33,92
532,1968,1,1,0,1,0,0.9,33,92
533,1976,1,1,0,1,0,0.9,33,92
534,1961,1,1,0,1,0,0.9,33,92
