year_abs,source_type,event_count,avg_confidence
1936,wikipedia,1,0.8
1937,wikipedia,1,0.8
1938,wikipedia,1,0.8
1939,wikipedia,3,0.8000000000000002
1941,wikipedia,2,0.8
1942,wikipedia,1,0.8
1943,wikipedia,1,0.8
1944,wikipedia,2,0.8
1945,wikipedia,2,0.8
1946,wikipedia,1,0.8
1947,wikipedia,2,0.8
1949,wikipedia,1,0.8
1950,scientific,6,0.9
1950,wikipedia,1,0.8
1951,wikipedia,1,0.8
1952,scientific,6,0.9
1953,scientific,4,0.9
1954,scientific,7,0.9
1954,wikipedia,1,0.8
1955,scientific,2,0.9
1955,wikipedia,1,0.8
1956,scientific,2,0.9
1956,wikipedia,2,0.8
1957,scientific,2,0.9
1958,scientific,5,0.9
1959,scientific,7,0.9
1959,wikipedia,2,0.8
1960,scientific,3,0.9
1960,wikipedia,2,0.8
1961,scientific,3,0.9
1961,wikipedia,2,0.8
1962,scientific,4,0.9
1962,wikipedia,3,0.8000000000000002
1963,scientific,4,0.9
1964,scientific,4,0.9
1964,wikipedia,1,0.8
1965,scientific,3,0.9
1966,scientific,4,0.9
1966,wikipedia,2,0.8
1967,scientific,6,0.9
1967,wikipedia,3,0.8000000000000002
1968,scientific,8,0.9
1968,wikipedia,1,0.8
1969,scientific,2,0.9
1970,scientific,7,0.9
1971,scientific,4,0.9
1972,scientific,5,0.9
1972,wikipedia,1,0.8
1973,wikipedia,1,0.8
1974,scientific,2,0.9
1974,wikipedia,2,0.8
1975,scientific,3,0.9
1975,wikipedia,1,0.8
1976,scientific,5,0.9
1976,wikipedia,2,0.8
1977,scientific,2,0.9
1977,wikipedia,3,0.8000000000000002
1978,scientific,5,0.9
1978,wikipedia,1,0.8
1979,scientific,5,0.9
1979,wikipedia,1,0.8
1980,scientific,1,0.9
1980,wikipedia,2,0.8
1981,scientific,8,0.9
1982,scientific,4,0.9
1982,wikipedia,2,0.8
1983,scientific,8,0.9
1984,scientific,6,0.9
1984,wikipedia,1,0.8
1985,scientific,5,0.9
1985,wikipedia,2,0.8
1986,scientific,3,0.9
1986,wikipedia,2,0.8
1987,scientific,4,0.9
1988,scientific,2,0.9
1988,wikipedia,1,0.8
1989,scientific,3,0.9
1989,wikipedia,1,0.8
1990,scientific,4,0.9
1990,wikipedia,3,0.8000000000000002
1991,scientific,3,0.9
1991,wikipedia,2,0.8
1992,scientific,1,0.9
1992,wikipedia,3,0.8000000000000002
1993,scientific,3,0.9
1993,wikipedia,3,0.8000000000000002
1994,scientific,6,0.9
1994,wikipedia,1,0.8
1995,scientific,12,0.9
1995,wikipedia,2,0.8
1996,scientific,4,0.9
1996,wikipedia,2,0.8
1997,scientific,2,0.9
1997,wikipedia,3,0.8000000000000002
1998,scientific,6,0.9
1999,scientific,2,0.9
2000,scientific,3,0.9
2000,wikipedia,1,0.8
2001,scientific,4,0.9
2001,wikipedia,2,0.8
2002,scientific,5,0.9
2003,scientific,3,0.9
2003,wikipedia,1,0.8
2004,scientific,3,0.9
2004,wikipedia,2,0.8
2005,scientific,4,0.9
2006,scientific,4,0.9
2007,scientific,3,0.9
2007,wikipedia,2,0.8
2008,scientific,2,0.9
2009,scientific,6,0.9
2010,scientific,3,0.9
2011,scientific,4,0.9
2012,scientific,7,0.9
2012,wikipedia,2,0.8
2013,scientific,2,0.9
2014,scientific,2,0.9
2015,scientific,2,0.9
2016,scientific,1,0.9
2016,wikipedia,2,0.8
2017,scientific,2,0.9
2018,scientific,2,0.9
2018,wikipedia,1,0.8
2019,scientific,3,0.9
2020,scientific,7,0.9
2021,scientific,7,0.9
2021,wikipedia,1,0.8
2022,scientific,7,0.9
2023,scientific,7,0.9
